"Plot Title: David"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20195878, SEN S/N: 20195878)","Full Range, μS/cm (LGR S/N: 20195878, SEN S/N: 20195878)","Temp, °F (LGR S/N: 20195878, SEN S/N: 20195878)","Bad Battery (LGR S/N: 20195878)","Coupler Detached (LGR S/N: 20195878)","Good Battery (LGR S/N: 20195878)","End Of File (LGR S/N: 20195878)"
32,12/22/20 04:04:52 PM,13.0,10.3,43.66,,,,
33,12/22/20 04:14:52 PM,13.0,9.9,43.66,,,,
34,12/22/20 04:24:52 PM,13.0,10.3,43.63,,,,
35,12/22/20 04:34:52 PM,13.1,10.3,43.65,,,,
36,12/22/20 04:44:52 PM,13.0,10.3,43.63,,,,
37,12/22/20 04:54:52 PM,13.0,9.9,43.59,,,,
38,12/22/20 05:04:52 PM,13.0,10.3,43.57,,,,
39,12/22/20 05:14:52 PM,13.0,10.3,43.54,,,,
40,12/22/20 05:24:52 PM,13.0,10.3,43.50,,,,
41,12/22/20 05:34:52 PM,13.0,10.3,43.48,,,,
42,12/22/20 05:44:52 PM,13.0,10.3,43.47,,,,
43,12/22/20 05:54:52 PM,13.0,10.3,43.43,,,,
44,12/22/20 06:04:52 PM,13.0,9.9,43.38,,,,
45,12/22/20 06:14:52 PM,13.0,9.9,43.36,,,,
46,12/22/20 06:24:52 PM,13.0,10.3,43.32,,,,
47,12/22/20 06:34:52 PM,13.0,10.3,43.30,,,,
48,12/22/20 06:44:52 PM,13.0,10.3,43.27,,,,
49,12/22/20 06:54:52 PM,13.0,10.3,43.23,,,,
50,12/22/20 07:04:52 PM,13.0,10.3,43.20,,,,
51,12/22/20 07:14:52 PM,13.0,10.3,43.20,,,,
52,12/22/20 07:24:52 PM,13.0,10.3,43.12,,,,
53,12/22/20 07:34:52 PM,13.0,10.3,43.11,,,,
54,12/22/20 07:44:52 PM,13.0,9.9,43.09,,,,
55,12/22/20 07:54:52 PM,13.0,9.9,43.05,,,,
56,12/22/20 08:04:52 PM,13.0,10.3,43.03,,,,
57,12/22/20 08:14:52 PM,13.0,10.3,42.96,,,,
58,12/22/20 08:24:52 PM,13.0,9.9,42.94,,,,
59,12/22/20 08:34:52 PM,13.0,10.3,42.91,,,,
60,12/22/20 08:44:52 PM,13.0,10.3,42.87,,,,
61,12/22/20 08:54:52 PM,12.9,10.3,42.85,,,,
62,12/22/20 09:04:52 PM,13.0,10.3,42.82,,,,
63,12/22/20 09:14:52 PM,13.0,10.3,42.78,,,,
64,12/22/20 09:24:52 PM,13.0,10.3,42.73,,,,
65,12/22/20 09:34:52 PM,13.0,10.3,42.71,,,,
66,12/22/20 09:44:52 PM,13.0,10.3,42.69,,,,
67,12/22/20 09:54:52 PM,13.0,10.3,42.69,,,,
68,12/22/20 10:04:52 PM,13.0,10.3,42.64,,,,
69,12/22/20 10:14:52 PM,13.0,10.3,42.60,,,,
70,12/22/20 10:24:52 PM,13.0,10.3,42.58,,,,
71,12/22/20 10:34:52 PM,13.0,10.3,42.55,,,,
72,12/22/20 10:44:52 PM,13.0,10.3,42.55,,,,
73,12/22/20 10:54:52 PM,13.0,9.9,42.48,,,,
74,12/22/20 11:04:52 PM,13.0,10.3,42.46,,,,
75,12/22/20 11:14:52 PM,13.0,10.3,42.42,,,,
76,12/22/20 11:24:52 PM,13.0,10.3,42.39,,,,
77,12/22/20 11:34:52 PM,13.0,10.3,42.37,,,,
78,12/22/20 11:44:52 PM,13.0,10.3,42.33,,,,
79,12/22/20 11:54:52 PM,12.9,10.3,42.30,,,,
80,12/23/20 12:04:52 AM,13.0,10.3,42.28,,,,
81,12/23/20 12:14:52 AM,13.0,10.3,42.28,,,,
82,12/23/20 12:24:52 AM,13.0,10.3,42.24,,,,
83,12/23/20 12:34:52 AM,13.0,10.3,42.19,,,,
84,12/23/20 12:44:52 AM,13.0,10.3,42.17,,,,
85,12/23/20 12:54:52 AM,13.0,9.9,42.13,,,,
86,12/23/20 01:04:52 AM,12.9,10.3,42.12,,,,
87,12/23/20 01:14:52 AM,12.9,10.3,42.06,,,,
88,12/23/20 01:24:52 AM,13.0,10.3,42.04,,,,
89,12/23/20 01:34:52 AM,12.9,10.3,42.03,,,,
90,12/23/20 01:44:52 AM,12.9,10.3,41.99,,,,
91,12/23/20 01:54:52 AM,12.9,10.3,41.97,,,,
92,12/23/20 02:04:52 AM,12.9,10.3,41.92,,,,
93,12/23/20 02:14:52 AM,12.9,10.3,41.90,,,,
94,12/23/20 02:24:52 AM,12.9,9.9,41.88,,,,
95,12/23/20 02:34:52 AM,12.8,9.9,41.85,,,,
96,12/23/20 02:44:52 AM,12.9,9.9,41.81,,,,
97,12/23/20 02:54:52 AM,12.9,9.9,41.77,,,,
98,12/23/20 03:04:52 AM,13.0,10.3,41.74,,,,
99,12/23/20 03:14:52 AM,12.8,10.3,41.72,,,,
100,12/23/20 03:24:52 AM,12.9,10.3,41.67,,,,
101,12/23/20 03:34:52 AM,13.0,10.3,41.65,,,,
102,12/23/20 03:44:52 AM,12.8,10.3,41.63,,,,
103,12/23/20 03:54:52 AM,12.8,9.9,41.61,,,,
104,12/23/20 04:04:52 AM,12.8,9.9,41.58,,,,
105,12/23/20 04:14:52 AM,12.8,10.3,41.54,,,,
106,12/23/20 04:24:52 AM,12.8,10.3,41.50,,,,
107,12/23/20 04:34:52 AM,12.8,9.9,41.49,,,,
108,12/23/20 04:44:52 AM,12.8,10.3,41.47,,,,
109,12/23/20 04:54:52 AM,12.8,10.3,41.41,,,,
110,12/23/20 05:04:52 AM,12.8,10.3,41.40,,,,
111,12/23/20 05:14:52 AM,12.8,9.9,41.36,,,,
112,12/23/20 05:24:52 AM,12.8,10.3,41.36,,,,
113,12/23/20 05:34:52 AM,12.8,10.3,41.34,,,,
114,12/23/20 05:44:52 AM,12.8,10.3,41.32,,,,
115,12/23/20 05:54:52 AM,12.8,10.3,41.27,,,,
116,12/23/20 06:04:52 AM,12.8,10.3,41.25,,,,
117,12/23/20 06:14:52 AM,12.8,10.3,41.23,,,,
118,12/23/20 06:24:52 AM,12.8,9.9,41.22,,,,
119,12/23/20 06:34:52 AM,12.8,10.3,41.20,,,,
120,12/23/20 06:44:52 AM,12.8,10.3,41.14,,,,
121,12/23/20 06:54:52 AM,12.8,9.9,41.13,,,,
122,12/23/20 07:04:52 AM,12.8,9.9,41.11,,,,
123,12/23/20 07:14:52 AM,12.8,10.3,41.09,,,,
124,12/23/20 07:24:52 AM,12.8,9.9,41.05,,,,
125,12/23/20 07:34:52 AM,12.8,10.3,41.05,,,,
126,12/23/20 07:44:52 AM,12.8,9.9,41.02,,,,
127,12/23/20 07:54:52 AM,12.8,10.3,41.00,,,,
128,12/23/20 08:04:52 AM,12.8,9.9,41.00,,,,
129,12/23/20 08:14:52 AM,12.8,10.3,41.00,,,,
130,12/23/20 08:24:52 AM,12.8,10.3,41.00,,,,
131,12/23/20 08:34:52 AM,12.8,9.9,41.00,,,,
132,12/23/20 08:44:52 AM,12.8,10.3,41.02,,,,
133,12/23/20 08:54:52 AM,12.8,10.3,41.05,,,,
134,12/23/20 09:04:52 AM,12.8,10.3,41.09,,,,
135,12/23/20 09:14:52 AM,12.8,10.3,41.07,,,,
136,12/23/20 09:24:52 AM,12.8,9.9,41.11,,,,
137,12/23/20 09:34:52 AM,12.8,10.3,41.13,,,,
138,12/23/20 09:44:52 AM,12.8,10.3,41.14,,,,
139,12/23/20 09:54:52 AM,12.8,9.9,41.22,,,,
140,12/23/20 10:04:52 AM,12.8,10.3,41.22,,,,
141,12/23/20 10:14:52 AM,12.8,10.3,41.25,,,,
142,12/23/20 10:24:52 AM,12.8,10.3,41.31,,,,
143,12/23/20 10:34:52 AM,12.8,10.3,41.36,,,,
144,12/23/20 10:44:52 AM,12.8,10.3,41.41,,,,
145,12/23/20 10:54:52 AM,12.8,10.3,41.58,,,,
146,12/23/20 11:04:52 AM,12.8,9.9,41.61,,,,
147,12/23/20 11:14:52 AM,12.9,9.9,41.81,,,,
148,12/23/20 11:24:52 AM,12.9,10.3,41.85,,,,
149,12/23/20 11:34:52 AM,12.8,10.3,41.90,,,,
150,12/23/20 11:44:52 AM,13.0,10.3,41.97,,,,
151,12/23/20 11:54:52 AM,13.0,10.3,41.99,,,,
152,12/23/20 12:04:52 PM,13.0,10.3,42.04,,,,
153,12/23/20 12:14:52 PM,13.0,10.3,42.03,,,,
154,12/23/20 12:24:52 PM,12.9,10.3,42.12,,,,
155,12/23/20 12:34:52 PM,13.0,10.3,42.13,,,,
156,12/23/20 12:44:52 PM,13.0,10.3,42.12,,,,
157,12/23/20 12:54:52 PM,13.0,10.3,42.17,,,,
158,12/23/20 01:04:52 PM,13.0,10.3,42.21,,,,
159,12/23/20 01:14:52 PM,13.0,10.3,42.26,,,,
160,12/23/20 01:24:52 PM,13.1,10.3,42.31,,,,
161,12/23/20 01:34:52 PM,13.1,10.3,42.33,,,,
162,12/23/20 01:44:52 PM,13.0,10.3,42.37,,,,
163,12/23/20 01:54:52 PM,13.1,10.3,42.42,,,,
164,12/23/20 02:04:52 PM,13.1,10.3,42.46,,,,
165,12/23/20 02:14:52 PM,13.2,10.3,42.53,,,,
166,12/23/20 02:24:52 PM,13.2,10.6,42.57,,,,
167,12/23/20 02:34:52 PM,13.2,10.3,42.58,,,,
168,12/23/20 02:44:52 PM,13.3,10.3,42.60,,,,
169,12/23/20 02:54:52 PM,13.2,10.3,42.60,,,,
170,12/23/20 03:04:52 PM,13.3,10.3,42.64,,,,
171,12/23/20 03:14:52 PM,13.3,10.3,42.66,,,,
172,12/23/20 03:24:52 PM,13.3,10.3,42.67,,,,
173,12/23/20 03:34:52 PM,13.4,10.3,42.71,,,,
174,12/23/20 03:44:52 PM,13.3,10.3,42.73,,,,
175,12/23/20 03:54:52 PM,13.6,10.6,42.80,,,,
176,12/23/20 04:04:52 PM,13.5,10.6,42.82,,,,
177,12/23/20 04:14:52 PM,13.6,10.3,42.82,,,,
178,12/23/20 04:24:52 PM,13.6,10.6,42.82,,,,
179,12/23/20 04:34:52 PM,13.6,10.6,42.82,,,,
180,12/23/20 04:44:52 PM,13.6,11.0,42.82,,,,
181,12/23/20 04:54:52 PM,13.7,10.6,42.80,,,,
182,12/23/20 05:04:52 PM,13.6,10.3,42.80,,,,
183,12/23/20 05:14:52 PM,13.6,10.3,42.80,,,,
184,12/23/20 05:24:52 PM,13.7,10.3,42.82,,,,
185,12/23/20 05:34:52 PM,13.6,10.6,42.82,,,,
186,12/23/20 05:44:52 PM,13.6,10.6,42.82,,,,
187,12/23/20 05:54:52 PM,13.6,11.0,42.84,,,,
188,12/23/20 06:04:52 PM,13.7,10.3,42.84,,,,
189,12/23/20 06:14:52 PM,13.6,10.6,42.85,,,,
190,12/23/20 06:24:52 PM,13.7,10.6,42.85,,,,
191,12/23/20 06:34:52 PM,13.6,10.6,42.85,,,,
192,12/23/20 06:44:52 PM,13.6,11.0,42.87,,,,
193,12/23/20 06:54:52 PM,13.6,10.3,42.87,,,,
194,12/23/20 07:04:52 PM,13.7,10.3,42.87,,,,
195,12/23/20 07:14:52 PM,13.7,11.0,42.85,,,,
196,12/23/20 07:24:52 PM,13.7,10.6,42.87,,,,
197,12/23/20 07:34:52 PM,13.7,10.3,42.91,,,,
198,12/23/20 07:44:52 PM,13.7,10.6,42.91,,,,
199,12/23/20 07:54:52 PM,13.8,10.6,42.91,,,,
200,12/23/20 08:04:52 PM,13.6,11.0,42.93,,,,
201,12/23/20 08:14:52 PM,13.7,10.6,42.93,,,,
202,12/23/20 08:24:52 PM,13.7,10.6,42.93,,,,
203,12/23/20 08:34:52 PM,13.7,10.3,42.93,,,,
204,12/23/20 08:44:52 PM,13.7,10.3,42.93,,,,
205,12/23/20 08:54:52 PM,13.6,10.3,42.93,,,,
206,12/23/20 09:04:52 PM,13.7,10.3,42.93,,,,
207,12/23/20 09:14:52 PM,13.6,11.0,42.93,,,,
208,12/23/20 09:24:52 PM,13.6,10.6,42.93,,,,
209,12/23/20 09:34:52 PM,13.7,10.3,42.93,,,,
210,12/23/20 09:44:52 PM,13.6,11.0,42.93,,,,
211,12/23/20 09:54:52 PM,13.6,11.0,42.94,,,,
212,12/23/20 10:04:52 PM,13.6,10.3,42.96,,,,
213,12/23/20 10:14:52 PM,13.5,10.6,42.96,,,,
214,12/23/20 10:24:52 PM,13.6,10.6,42.96,,,,
215,12/23/20 10:34:52 PM,13.6,10.3,42.98,,,,
216,12/23/20 10:44:52 PM,13.6,10.3,43.00,,,,
217,12/23/20 10:54:52 PM,13.6,10.3,43.00,,,,
218,12/23/20 11:04:52 PM,13.6,10.6,43.00,,,,
219,12/23/20 11:14:52 PM,13.6,10.3,43.03,,,,
220,12/23/20 11:24:52 PM,13.6,10.6,43.05,,,,
221,12/23/20 11:34:52 PM,13.6,10.3,43.07,,,,
222,12/23/20 11:44:52 PM,13.6,10.6,43.05,,,,
223,12/23/20 11:54:52 PM,13.7,10.6,43.09,,,,
224,12/24/20 12:04:52 AM,14.0,10.6,43.09,,,,
225,12/24/20 12:14:52 AM,14.0,11.0,43.09,,,,
226,12/24/20 12:24:52 AM,14.0,11.0,43.09,,,,
227,12/24/20 12:34:52 AM,14.2,11.0,43.11,,,,
228,12/24/20 12:44:52 AM,14.2,11.0,43.12,,,,
229,12/24/20 12:54:52 AM,14.2,11.0,43.16,,,,
230,12/24/20 01:04:52 AM,14.3,11.0,43.18,,,,
231,12/24/20 01:14:52 AM,14.2,11.0,43.20,,,,
232,12/24/20 01:24:52 AM,14.3,11.0,43.20,,,,
233,12/24/20 01:34:52 AM,14.3,11.0,43.23,,,,
234,12/24/20 01:44:52 AM,14.2,11.0,43.23,,,,
235,12/24/20 01:54:52 AM,14.2,11.0,43.25,,,,
236,12/24/20 02:04:52 AM,14.4,11.4,43.27,,,,
237,12/24/20 02:14:52 AM,14.3,11.0,43.32,,,,
238,12/24/20 02:24:52 AM,14.3,11.4,43.34,,,,
239,12/24/20 02:34:52 AM,14.3,11.0,43.38,,,,
240,12/24/20 02:44:52 AM,14.4,11.4,43.39,,,,
241,12/24/20 02:54:52 AM,14.4,11.4,43.43,,,,
242,12/24/20 03:04:52 AM,14.4,11.0,43.45,,,,
243,12/24/20 03:14:52 AM,14.4,11.0,43.47,,,,
244,12/24/20 03:24:52 AM,14.4,11.4,43.48,,,,
245,12/24/20 03:34:52 AM,14.4,11.4,43.50,,,,
246,12/24/20 03:44:52 AM,14.5,11.0,43.52,,,,
247,12/24/20 03:54:52 AM,14.5,11.4,43.57,,,,
248,12/24/20 04:04:52 AM,14.4,11.0,43.59,,,,
249,12/24/20 04:14:52 AM,14.5,11.0,43.63,,,,
250,12/24/20 04:24:52 AM,14.5,11.4,43.65,,,,
251,12/24/20 04:34:52 AM,14.5,11.4,43.66,,,,
252,12/24/20 04:44:52 AM,14.5,11.4,43.74,,,,
253,12/24/20 04:54:52 AM,14.5,10.6,43.75,,,,
254,12/24/20 05:04:52 AM,14.5,11.4,43.77,,,,
255,12/24/20 05:14:52 AM,14.5,11.8,43.79,,,,
256,12/24/20 05:24:52 AM,14.5,11.4,43.83,,,,
257,12/24/20 05:34:52 AM,14.5,11.4,43.86,,,,
258,12/24/20 05:44:52 AM,14.5,11.4,43.90,,,,
259,12/24/20 05:54:52 AM,14.5,11.4,43.92,,,,
260,12/24/20 06:04:52 AM,14.5,11.4,43.93,,,,
261,12/24/20 06:14:52 AM,14.6,11.4,43.97,,,,
262,12/24/20 06:24:52 AM,14.6,11.7,43.99,,,,
263,12/24/20 06:34:52 AM,14.7,11.4,44.02,,,,
264,12/24/20 06:44:52 AM,14.7,11.4,44.04,,,,
265,12/24/20 06:54:52 AM,14.7,11.4,44.10,,,,
266,12/24/20 07:04:52 AM,14.7,11.7,44.11,,,,
267,12/24/20 07:14:52 AM,14.7,11.7,44.13,,,,
268,12/24/20 07:24:52 AM,14.7,11.4,44.13,,,,
269,12/24/20 07:34:52 AM,14.8,11.7,44.15,,,,
270,12/24/20 07:44:52 AM,14.7,11.7,44.19,,,,
271,12/24/20 07:54:52 AM,14.8,11.7,44.22,,,,
272,12/24/20 08:04:52 AM,14.8,11.7,44.24,,,,
273,12/24/20 08:14:52 AM,14.8,11.7,44.26,,,,
274,12/24/20 08:24:52 AM,14.8,11.7,44.29,,,,
275,12/24/20 08:34:52 AM,14.8,11.7,44.31,,,,
276,12/24/20 08:44:52 AM,14.9,11.7,44.33,,,,
277,12/24/20 08:54:52 AM,14.9,11.7,44.38,,,,
278,12/24/20 09:04:52 AM,14.9,11.7,44.40,,,,
279,12/24/20 09:14:52 AM,14.8,11.7,44.46,,,,
280,12/24/20 09:24:52 AM,14.8,11.7,44.49,,,,
281,12/24/20 09:34:52 AM,14.9,11.7,44.49,,,,
282,12/24/20 09:44:52 AM,14.8,11.7,44.53,,,,
283,12/24/20 09:54:52 AM,14.8,11.7,44.53,,,,
284,12/24/20 10:04:52 AM,14.9,11.7,44.55,,,,
285,12/24/20 10:14:52 AM,14.9,11.7,44.58,,,,
286,12/24/20 10:24:52 AM,14.9,11.7,44.58,,,,
287,12/24/20 10:34:52 AM,14.9,11.7,44.58,,,,
288,12/24/20 10:44:52 AM,14.9,11.7,44.64,,,,
289,12/24/20 10:54:52 AM,14.9,11.7,44.65,,,,
290,12/24/20 11:04:52 AM,14.9,11.7,44.69,,,,
291,12/24/20 11:14:52 AM,14.9,11.7,44.71,,,,
292,12/24/20 11:24:52 AM,14.9,11.7,44.71,,,,
293,12/24/20 11:34:52 AM,14.9,11.7,44.73,,,,
294,12/24/20 11:44:52 AM,14.9,11.7,44.76,,,,
295,12/24/20 11:54:52 AM,14.9,11.7,44.78,,,,
296,12/24/20 12:04:52 PM,14.9,11.7,44.80,,,,
297,12/24/20 12:14:52 PM,14.9,11.7,44.80,,,,
298,12/24/20 12:24:52 PM,14.9,12.1,44.83,,,,
299,12/24/20 12:34:52 PM,14.8,11.7,44.89,,,,
300,12/24/20 12:44:52 PM,14.8,11.7,44.91,,,,
301,12/24/20 12:54:52 PM,14.8,11.4,44.94,,,,
302,12/24/20 01:04:52 PM,14.8,11.7,44.96,,,,
303,12/24/20 01:14:52 PM,14.8,11.7,45.00,,,,
304,12/24/20 01:24:52 PM,14.9,11.7,44.98,,,,
305,12/24/20 01:34:52 PM,14.9,11.7,45.03,,,,
306,12/24/20 01:44:52 PM,14.9,12.1,45.05,,,,
307,12/24/20 01:54:52 PM,14.9,11.7,45.07,,,,
308,12/24/20 02:04:52 PM,15.0,12.1,45.09,,,,
309,12/24/20 02:14:52 PM,15.1,12.1,45.09,,,,
310,12/24/20 02:24:52 PM,15.1,11.7,45.12,,,,
311,12/24/20 02:34:52 PM,15.0,11.7,45.16,,,,
312,12/24/20 02:44:52 PM,15.0,11.7,45.18,,,,
313,12/24/20 02:54:52 PM,15.0,11.7,45.19,,,,
314,12/24/20 03:04:52 PM,15.0,11.7,45.21,,,,
315,12/24/20 03:14:52 PM,15.1,11.7,45.25,,,,
316,12/24/20 03:24:52 PM,15.1,11.7,45.23,,,,
317,12/24/20 03:34:52 PM,15.0,12.1,45.25,,,,
318,12/24/20 03:44:52 PM,15.1,12.1,45.28,,,,
319,12/24/20 03:54:52 PM,15.1,11.7,45.28,,,,
320,12/24/20 04:04:52 PM,15.1,11.7,45.30,,,,
321,12/24/20 04:14:52 PM,15.1,12.5,45.28,,,,
322,12/24/20 04:24:52 PM,15.1,12.1,45.32,,,,
323,12/24/20 04:34:52 PM,15.1,12.1,45.34,,,,
324,12/24/20 04:44:52 PM,15.3,12.1,45.32,,,,
325,12/24/20 04:54:52 PM,15.2,12.1,45.34,,,,
326,12/24/20 05:04:52 PM,15.2,12.1,45.34,,,,
327,12/24/20 05:14:52 PM,15.3,11.7,45.34,,,,
328,12/24/20 05:24:52 PM,15.3,12.5,45.36,,,,
329,12/24/20 05:34:52 PM,15.3,12.1,45.36,,,,
330,12/24/20 05:44:52 PM,15.2,12.1,45.36,,,,
331,12/24/20 05:54:52 PM,15.3,12.1,45.36,,,,
332,12/24/20 06:04:52 PM,15.3,12.5,45.36,,,,
333,12/24/20 06:14:52 PM,15.3,11.7,45.36,,,,
334,12/24/20 06:24:52 PM,15.4,12.5,45.37,,,,
335,12/24/20 06:34:52 PM,15.3,12.5,45.37,,,,
336,12/24/20 06:44:52 PM,15.3,12.1,45.39,,,,
337,12/24/20 06:54:52 PM,15.3,12.1,45.39,,,,
338,12/24/20 07:04:52 PM,15.4,12.1,45.39,,,,
339,12/24/20 07:14:52 PM,15.3,12.5,45.39,,,,
340,12/24/20 07:24:52 PM,15.3,12.1,45.43,,,,
341,12/24/20 07:34:52 PM,15.2,12.5,45.43,,,,
342,12/24/20 07:44:52 PM,15.3,12.5,45.43,,,,
343,12/24/20 07:54:52 PM,15.3,12.1,45.43,,,,
344,12/24/20 08:04:52 PM,15.3,12.1,45.45,,,,
345,12/24/20 08:14:52 PM,15.1,12.1,45.32,,,,
346,12/24/20 08:24:52 PM,15.6,12.9,44.92,,,,
347,12/24/20 08:34:52 PM,15.0,12.1,44.44,,,,
348,12/24/20 08:44:52 PM,14.9,11.7,44.13,,,,
349,12/24/20 08:54:52 PM,14.9,11.7,44.11,,,,
350,12/24/20 09:04:52 PM,14.9,11.7,44.02,,,,
351,12/24/20 09:14:52 PM,14.9,11.7,44.02,,,,
352,12/24/20 09:24:52 PM,14.8,11.8,43.84,,,,
353,12/24/20 09:34:52 PM,14.6,11.8,43.59,,,,
354,12/24/20 09:44:52 PM,14.6,11.8,43.34,,,,
355,12/24/20 09:54:52 PM,14.6,11.0,43.21,,,,
356,12/24/20 10:04:52 PM,14.5,11.8,43.00,,,,
357,12/24/20 10:14:52 PM,14.4,11.4,42.71,,,,
358,12/24/20 10:24:52 PM,14.4,11.0,42.42,,,,
359,12/24/20 10:34:52 PM,14.3,11.4,42.28,,,,
360,12/24/20 10:44:52 PM,14.3,11.0,42.30,,,,
361,12/24/20 10:54:52 PM,14.2,11.4,42.17,,,,
362,12/24/20 11:04:52 PM,14.2,11.4,41.90,,,,
363,12/24/20 11:14:52 PM,14.2,11.4,41.70,,,,
364,12/24/20 11:24:52 PM,14.1,11.4,41.49,,,,
365,12/24/20 11:34:52 PM,14.1,11.4,41.45,,,,
366,12/24/20 11:44:52 PM,14.1,11.0,41.40,,,,
367,12/24/20 11:54:52 PM,14.0,11.4,41.31,,,,
368,12/25/20 12:04:52 AM,14.1,11.4,41.38,,,,
369,12/25/20 12:14:52 AM,14.1,11.4,41.45,,,,
370,12/25/20 12:24:52 AM,14.2,11.4,41.45,,,,
371,12/25/20 12:34:52 AM,14.1,11.4,41.45,,,,
372,12/25/20 12:44:52 AM,14.1,11.4,41.45,,,,
373,12/25/20 12:54:52 AM,14.2,11.4,41.49,,,,
374,12/25/20 01:04:52 AM,14.2,11.4,41.47,,,,
375,12/25/20 01:14:52 AM,14.3,11.4,41.54,,,,
376,12/25/20 01:24:52 AM,14.3,11.4,41.58,,,,
377,12/25/20 01:34:52 AM,14.2,11.4,41.59,,,,
378,12/25/20 01:44:52 AM,14.3,11.8,41.59,,,,
379,12/25/20 01:54:52 AM,14.4,11.4,41.67,,,,
380,12/25/20 02:04:52 AM,14.4,11.4,41.70,,,,
381,12/25/20 02:14:52 AM,14.5,11.4,41.76,,,,
382,12/25/20 02:24:52 AM,14.5,11.4,41.72,,,,
383,12/25/20 02:34:52 AM,14.5,11.4,41.72,,,,
384,12/25/20 02:44:52 AM,14.5,11.8,41.72,,,,
385,12/25/20 02:54:52 AM,14.5,11.4,41.72,,,,
386,12/25/20 03:04:52 AM,14.5,11.8,41.74,,,,
387,12/25/20 03:14:52 AM,14.5,11.8,41.72,,,,
388,12/25/20 03:24:52 AM,14.5,11.4,41.72,,,,
389,12/25/20 03:34:52 AM,14.5,11.4,41.70,,,,
390,12/25/20 03:44:52 AM,14.6,11.8,41.67,,,,
391,12/25/20 03:54:52 AM,14.5,11.8,41.63,,,,
392,12/25/20 04:04:52 AM,14.6,11.4,41.65,,,,
393,12/25/20 04:14:52 AM,14.2,11.0,41.61,,,,
394,12/25/20 04:24:52 AM,14.0,11.0,41.50,,,,
395,12/25/20 04:34:52 AM,14.0,10.7,41.47,,,,
396,12/25/20 04:44:52 AM,14.0,11.0,41.52,,,,
397,12/25/20 04:54:52 AM,14.0,11.0,41.50,,,,
398,12/25/20 05:04:52 AM,13.9,11.0,41.50,,,,
399,12/25/20 05:14:52 AM,13.8,11.0,41.49,,,,
400,12/25/20 05:24:52 AM,13.8,11.0,41.47,,,,
401,12/25/20 05:34:52 AM,13.8,11.0,41.45,,,,
402,12/25/20 05:44:52 AM,13.9,11.0,41.45,,,,
403,12/25/20 05:54:52 AM,13.9,11.0,41.40,,,,
404,12/25/20 06:04:52 AM,13.8,11.0,41.38,,,,
405,12/25/20 06:14:52 AM,13.9,11.0,41.36,,,,
406,12/25/20 06:24:52 AM,13.9,11.0,41.36,,,,
407,12/25/20 06:34:52 AM,14.0,11.0,41.34,,,,
408,12/25/20 06:44:52 AM,13.9,11.0,41.34,,,,
409,12/25/20 06:54:52 AM,13.9,11.0,41.27,,,,
410,12/25/20 07:04:52 AM,14.0,10.7,41.25,,,,
411,12/25/20 07:14:52 AM,14.0,11.0,41.23,,,,
